latitude,longitude,altitude
42.11277,-85.98400,232
42.11279,-85.98400,234
42.11277,-85.98400,235
42.11277,-85.98399,235
42.11277,-85.98396,234
42.11277,-85.98399,232
42.11276,-85.98396,233
42.11276,-85.98400,232
42.11255,-85.98408,251
42.11206,-85.98440,288
42.11176,-85.98463,321
42.11147,-85.98501,343
42.11118,-85.98541,366
42.11075,-85.98587,391
42.11041,-85.98631,416
42.11002,-85.98680,455
42.10958,-85.98721,493
42.10908,-85.98761,524
42.10871,-85.98811,546
42.10838,-85.98862,585
42.10780,-85.98898,627
42.10724,-85.98923,671
42.10691,-85.98947,711
42.10690,-85.98971,744
42.10669,-85.98962,775
42.10649,-85.98951,808
42.10652,-85.98947,840
42.10657,-85.98982,870
42.10628,-85.99024,911
42.10611,-85.99052,963
42.10583,-85.99059,1020
42.10537,-85.99036,1065
42.10495,-85.99009,1112
42.10447,-85.99010,1145
42.10381,-85.99001,1172
42.10319,-85.99016,1204
42.10275,-85.99023,1234
42.10243,-85.99014,1261
42.10196,-85.99017,1291
42.10130,-85.99010,1315
42.10080,-85.99004,1341
42.10041,-85.99030,1372
42.10001,-85.99062,1393
42.09966,-85.99098,1412
42.09931,-85.99133,1432
42.09895,-85.99165,1451
42.09862,-85.99203,1473
42.09824,-85.99236,1496
42.09786,-85.99272,1519
42.09745,-85.99321,1544
42.09708,-85.99375,1569
42.09673,-85.99429,1596
42.09641,-85.99489,1619
42.09616,-85.99547,1643
42.09584,-85.99599,1668
42.09544,-85.99646,1694
42.09499,-85.99702,1717
42.09452,-85.99748,1742
42.09394,-85.99791,1765
42.09333,-85.99834,1788
42.09280,-85.99865,1807
42.09210,-85.99901,1827
42.09139,-85.99922,1848
42.09070,-85.99935,1867
42.09005,-85.99941,1886
42.08937,-85.99951,1905
42.08870,-85.99960,1925
42.08809,-85.99968,1944
42.08743,-85.99969,1966
42.08678,-85.99976,1986
42.08521,-85.99983,2041
42.08374,-85.99986,2096
42.08220,-86.00000,2155
42.08077,-86.00017,2214
42.07937,-86.00036,2277
42.07807,-86.00052,2337
42.07685,-86.00060,2397
42.07598,-86.00060,2460
42.07542,-86.00042,2523
42.07508,-86.00000,2581
42.07455,-85.99911,2636
42.07402,-85.99842,2701
42.07306,-85.99753,2760
42.07195,-85.99669,2818
42.07060,-85.99573,2878
42.06938,-85.99462,2941
42.06821,-85.99319,3004
42.06723,-85.99181,3066
42.06629,-85.99055,3127
42.06568,-85.98892,3190
42.06514,-85.98703,3252
42.06444,-85.98505,3313
42.06371,-85.98318,3374
42.06298,-85.98096,3441
42.06248,-85.97900,3501
42.06184,-85.97698,3561
42.06114,-85.97515,3619
42.06013,-85.97360,3680
42.05925,-85.97185,3739
42.05872,-85.96953,3797
42.05847,-85.96681,3856
42.05826,-85.96388,3914
42.05826,-85.96082,3972
42.05821,-85.95781,4029
42.05815,-85.95467,4087
42.05824,-85.95158,4153
42.05876,-85.94850,4220
42.05931,-85.94538,4283
42.05953,-85.94196,4349
42.05955,-85.93832,4417
42.05923,-85.93466,4485
42.05870,-85.93086,4563
42.05813,-85.92664,4652
42.05798,-85.92220,4742
42.05790,-85.91700,4811
42.05819,-85.91150,4882
42.05847,-85.90548,4939
42.05872,-85.89979,4988
42.05892,-85.89404,5040
42.05904,-85.88852,5090
42.05930,-85.88280,5145
42.05955,-85.87652,5200
42.05967,-85.87041,5256
42.06019,-85.86393,5321
42.06089,-85.85758,5381
42.06161,-85.85091,5443
42.06244,-85.84358,5507
42.06342,-85.83633,5568
42.06461,-85.82880,5633
42.06604,-85.82137,5696
42.06774,-85.81356,5761
42.06950,-85.80591,5824
42.07127,-85.79815,5888
42.07312,-85.78978,5955
42.07496,-85.78150,6024
42.07717,-85.77306,6092
42.07954,-85.76463,6160
42.08213,-85.75620,6233
42.08507,-85.74755,6305
42.08796,-85.73917,6371
42.09085,-85.73050,6440
42.09374,-85.72206,6502
42.09682,-85.71340,6564
42.09993,-85.70493,6621
42.10330,-85.69631,6680
42.10669,-85.68794,6734
42.11020,-85.67927,6796
42.11361,-85.67061,6854
42.11715,-85.66147,6916
42.12037,-85.65208,6982
42.12365,-85.64251,7040
42.12721,-85.63268,7101
42.13096,-85.62334,7171
42.13512,-85.61403,7259
42.13926,-85.60426,7337
42.14323,-85.59450,7399
42.14753,-85.58412,7459
42.15155,-85.57420,7517
42.15578,-85.56379,7583
42.15968,-85.55313,7646
42.16360,-85.54194,7712
42.16749,-85.53099,7781
42.17171,-85.51987,7857
42.17640,-85.50907,7953
42.18118,-85.49787,8039
42.18567,-85.48724,8122
42.19017,-85.47619,8207
42.19452,-85.46516,8289
42.19875,-85.45334,8377
42.20278,-85.44167,8453
42.20687,-85.42957,8527
42.21098,-85.41730,8602
42.21488,-85.40533,8672
42.21901,-85.39320,8745
42.22296,-85.38145,8814
42.22725,-85.36968,8891
42.23149,-85.35866,8962
42.23594,-85.34724,9037
42.24051,-85.33592,9106
42.24508,-85.32463,9181
42.25001,-85.31324,9287
42.25528,-85.30077,9394
42.26115,-85.28773,9502
42.26772,-85.27374,9590
42.27437,-85.25898,9685
42.28123,-85.24397,9751
42.28865,-85.22867,9818
42.29600,-85.21368,9891
42.30349,-85.19787,9967
42.31061,-85.18225,10047
42.31793,-85.16582,10129
42.32497,-85.14909,10206
42.33212,-85.13172,10288
42.33892,-85.11438,10371
42.34589,-85.09592,10449
42.35304,-85.07744,10525
42.35996,-85.05913,10599
42.36715,-85.04012,10675
42.37411,-85.02135,10745
42.38135,-85.00214,10820
42.38821,-84.98353,10895
42.39524,-84.96420,10968
42.40199,-84.94564,11039
42.40881,-84.92627,11113
42.41530,-84.90767,11189
42.42183,-84.88842,11271
42.42826,-84.86961,11346
42.43538,-84.85037,11426
42.44236,-84.83186,11499
42.44991,-84.81282,11579
42.45758,-84.79431,11662
42.46552,-84.77502,11752
42.47355,-84.75581,11861
42.48138,-84.73705,11964
42.48955,-84.71747,12060
42.49738,-84.69830,12136
42.50445,-84.67907,12239
42.50973,-84.66242,12338
42.51444,-84.64604,12419
42.51862,-84.62998,12494
42.52222,-84.61390,12568
42.52516,-84.59850,12638
42.52786,-84.58319,12708
42.53048,-84.56906,12773
42.53333,-84.55505,12845
42.53642,-84.54205,12921
42.53987,-84.52957,13003
42.54371,-84.51806,13077
42.54767,-84.50649,13148
42.55169,-84.49521,13214
42.55555,-84.48365,13282
42.55911,-84.47201,13348
42.56269,-84.46112,13416
42.56611,-84.45002,13489
42.56984,-84.43892,13565
42.57365,-84.42725,13646
42.57767,-84.41569,13719
42.58154,-84.40390,13793
42.58482,-84.39291,13863
42.58844,-84.38175,13940
42.59245,-84.37012,14013
42.59682,-84.35782,14090
42.60076,-84.34574,14168
42.60419,-84.33343,14252
42.60750,-84.32152,14334
42.61099,-84.30869,14417
42.61475,-84.29575,14495
42.61850,-84.28273,14576
42.62221,-84.27074,14658
42.62571,-84.25968,14730
42.62953,-84.24839,14808
42.63283,-84.23722,14887
42.63611,-84.22587,14974
42.63894,-84.21524,15058
42.64175,-84.20390,15146
42.64421,-84.19259,15224
42.64641,-84.18088,15300
42.64868,-84.17010,15372
42.65076,-84.15892,15443
42.65289,-84.14816,15513
42.65524,-84.13748,15593
42.65808,-84.12770,15672
42.66083,-84.11726,15755
42.66394,-84.10783,15835
42.66700,-84.09789,15913
42.66976,-84.08841,15985
42.67253,-84.07881,16055
42.67552,-84.06947,16125
42.67902,-84.06062,16201
42.68296,-84.05216,16284
42.68645,-84.04321,16369
42.68952,-84.03469,16458
42.69197,-84.02634,16546
42.69361,-84.01778,16637
42.69495,-84.00925,16727
42.69618,-84.00158,16810
42.69740,-83.99472,16892
42.69873,-83.98858,16965
42.70035,-83.98215,17041
42.70193,-83.97562,17113
42.70372,-83.96855,17192
42.70569,-83.96162,17275
42.70760,-83.95467,17362
42.70906,-83.94836,17448
42.71068,-83.94286,17539
42.71295,-83.93733,17631
42.71553,-83.93195,17716
42.71856,-83.92571,17797
42.72126,-83.91949,17866
42.72370,-83.91261,17937
42.72596,-83.90582,18009
42.72721,-83.89922,18093
42.72743,-83.89278,18180
42.72696,-83.88682,18270
42.72662,-83.88201,18363
42.72683,-83.87747,18455
42.72718,-83.87343,18543
42.72768,-83.86922,18628
42.72842,-83.86531,18708
42.72964,-83.86197,18788
42.73147,-83.85833,18864
42.73313,-83.85409,18940
42.73425,-83.84854,19020
42.73441,-83.84280,19094
42.73363,-83.83723,19162
42.73292,-83.83263,19260
42.73285,-83.83000,19342
42.73329,-83.82764,19435
42.73408,-83.82516,19519
42.73540,-83.82227,19612
42.73652,-83.81892,19701
42.73729,-83.81553,19794
42.73760,-83.81165,19878
42.73780,-83.80710,19956
42.73783,-83.80370,20027
42.73774,-83.80061,20102
42.73817,-83.79816,20198
42.73919,-83.79665,20288
42.74088,-83.79527,20379
42.74288,-83.79365,20469
42.74506,-83.79147,20561
42.74694,-83.78850,20652
42.74900,-83.78486,20742
42.75122,-83.78143,20835
42.75301,-83.77844,20927
42.75451,-83.77530,21022
42.75543,-83.77212,21108
42.75616,-83.76958,21199
42.75665,-83.76765,21295
42.75727,-83.76683,21388
42.75839,-83.76609,21489
42.75995,-83.76504,21588
42.76178,-83.76346,21690
42.76355,-83.76130,21786
42.76492,-83.75903,21880
42.76564,-83.75647,21973
42.76634,-83.75491,22061
42.76747,-83.75375,22154
42.76896,-83.75282,22243
42.77084,-83.75170,22330
42.77269,-83.75018,22422
42.77396,-83.74777,22510
42.77483,-83.74435,22603
42.77568,-83.74110,22696
42.77625,-83.73782,22789
42.77665,-83.73508,22882
42.77723,-83.73246,22973
42.77831,-83.72918,23067
42.77918,-83.72523,23154
42.77988,-83.72056,23245
42.78049,-83.71493,23336
42.78064,-83.70930,23426
42.78009,-83.70451,23517
42.77935,-83.70101,23602
42.77853,-83.69847,23690
42.77729,-83.69633,23775
42.77571,-83.69422,23860
42.77384,-83.69224,23955
42.77220,-83.69067,24051
42.77067,-83.68980,24154
42.76950,-83.68941,24257
42.76855,-83.68869,24365
42.76788,-83.68796,24471
42.76723,-83.68689,24577
42.76660,-83.68598,24673
42.76616,-83.68564,24768
42.76616,-83.68556,24860
42.76671,-83.68521,24942
42.76764,-83.68419,25025
42.76865,-83.68213,25101
42.76928,-83.67957,25183
42.77049,-83.67625,25274
42.77157,-83.67190,25363
42.77176,-83.66702,25456
42.77079,-83.66183,25567
42.76846,-83.65748,25668
42.76549,-83.65348,25775
42.76257,-83.65012,25878
42.76011,-83.64751,25980
42.75850,-83.64520,26067
42.75704,-83.64201,26149
42.75620,-83.63837,26236
42.75552,-83.63412,26325
42.75446,-83.63005,26424
42.75312,-83.62635,26528
42.75205,-83.62338,26636
42.75089,-83.61983,26735
42.75004,-83.61629,26828
42.74933,-83.61208,26919
42.74879,-83.60734,27007
42.74771,-83.60221,27099
42.74678,-83.59708,27194
42.74620,-83.59251,27294
42.74586,-83.58882,27401
42.74583,-83.58571,27502
42.74660,-83.58267,27600
42.74674,-83.57972,27688
42.74730,-83.57653,27765
42.74827,-83.57336,27850
42.74882,-83.56984,27937
42.74903,-83.56555,28027
42.74879,-83.56122,28123
42.74885,-83.55712,28214
42.74847,-83.55338,28305
42.74851,-83.54896,28389
42.74849,-83.54396,28465
42.74811,-83.53889,28542
42.74836,-83.53360,28621
42.74843,-83.52769,28703
42.74884,-83.52152,28795
42.74945,-83.51539,28886
42.74935,-83.50920,28982
42.74876,-83.50363,29074
42.74844,-83.49799,29159
42.74786,-83.49154,29242
42.74701,-83.48492,29316
42.74605,-83.47758,29386
42.74544,-83.47044,29456
42.74400,-83.46356,29533
42.74210,-83.45708,29615
42.74041,-83.45143,29700
42.73912,-83.44632,29788
42.73772,-83.44118,29870
42.73625,-83.43520,29955
42.73481,-83.42877,29898
42.73366,-83.42294,28697
42.73374,-83.41813,27514
42.73339,-83.41383,26481
42.73188,-83.41029,25476
42.73210,-83.40752,24588
42.73138,-83.40684,23711
42.73048,-83.40262,22915
42.73118,-83.39959,22154
42.73210,-83.39721,21432
42.73275,-83.39378,20775
42.73374,-83.39074,20130
42.73518,-83.38639,19527
42.73600,-83.38223,18931
42.73809,-83.37855,18374
42.73852,-83.37355,17824
42.74006,-83.36719,17315
42.74189,-83.36016,16809
42.74469,-83.35156,16326
42.74760,-83.34168,15856
42.74977,-83.33163,15419
42.75106,-83.31986,14980
42.75353,-83.30779,14565
42.75631,-83.29406,14148
42.76003,-83.28154,13757
42.76408,-83.26855,13365
42.76847,-83.25594,13002
42.77287,-83.23920,12636
42.77877,-83.21973,12293
42.78631,-83.19876,11959
42.79287,-83.17840,11630
42.79991,-83.15844,11301
42.80695,-83.13950,11002
42.81380,-83.11996,10697
42.82064,-83.10069,10395
42.82784,-83.08097,10098
42.83453,-83.06174,9803
42.84115,-83.04427,9518
42.84755,-83.02714,9236
42.85292,-83.01227,8967
42.85815,-82.99974,8696
42.86295,-82.98791,8428
42.86697,-82.97614,8175
42.87166,-82.96394,7916
42.87615,-82.95169,7672
42.88066,-82.93864,7422
42.88458,-82.92545,7177
42.88789,-82.91326,6945
42.89038,-82.90199,6715
42.89270,-82.89136,6482
42.89431,-82.88148,6250
42.89534,-82.87218,6015
42.89605,-82.86445,5784
42.89638,-82.85719,5557
42.89709,-82.85083,5337
42.89719,-82.84524,5114
42.89690,-82.83981,4898
42.89747,-82.83502,4691
42.89740,-82.83118,4477
42.89727,-82.82800,4273
42.89712,-82.82474,4058
42.89687,-82.82159,3856
42.89656,-82.81873,3651
42.89675,-82.81577,3472
42.89658,-82.81356,3260
42.89571,-82.81158,3088
42.89477,-82.81076,2853
42.89333,-82.80986,2665
42.89164,-82.80910,2472
42.88986,-82.80862,2284
42.88829,-82.80807,2097
42.88704,-82.80763,1970
42.88621,-82.80717,1897
42.88558,-82.80656,1831
42.88493,-82.80595,1767
42.88437,-82.80532,1684
42.88376,-82.80461,1614
42.88347,-82.80402,1545
42.88314,-82.80370,1466
42.88271,-82.80341,1411
42.88237,-82.80330,1350
42.88223,-82.80344,1291
42.88199,-82.80350,1235
42.88167,-82.80341,1182
42.88147,-82.80359,1108
42.88109,-82.80391,1049
42.88097,-82.80423,987
42.88070,-82.80462,921
42.88045,-82.80489,846
42.88023,-82.80508,770
42.87994,-82.80515,694
42.87972,-82.80534,617
42.87934,-82.80573,547
42.87922,-82.80592,463
42.87870,-82.80669,224
42.87868,-82.80647,225
42.87863,-82.80641,225
42.87862,-82.80640,224
42.87858,-82.80641,225
42.87863,-82.80640,234
42.87864,-82.80640,237
42.87864,-82.80640,238
42.87859,-82.80626,237
42.87863,-82.80620,239
42.87867,-82.80622,242
42.87861,-82.80625,254
42.87848,-82.80618,255
42.87854,-82.80625,247
42.87859,-82.80622,242
42.87870,-82.80620,251
42.87871,-82.80620,259
42.87872,-82.80618,251
42.87872,-82.80620,236
42.87868,-82.80620,235
42.87868,-82.80624,246
42.87873,-82.80626,242
42.87873,-82.80626,244
42.87877,-82.80629,236
42.87879,-82.80626,239
42.87876,-82.80624,240
42.87878,-82.80618,232
42.87878,-82.80624,226
42.87874,-82.80626,220
42.87875,-82.80629,218
42.87873,-82.80631,216
42.87871,-82.80631,217
42.87865,-82.80630,217
42.87867,-82.80630,218
42.87865,-82.80630,220
42.87867,-82.80629,225
42.87871,-82.80629,223
42.87873,-82.80625,231
42.87873,-82.80624,237
42.87870,-82.80626,229